batch,acc
0,0.8359375
1,0.7578125
2,0.8203125
3,0.79296875
4,0.79296875
5,0.7734375
6,0.8203125
7,0.8203125
8,0.79296875
9,0.80859375
10,0.80078125
11,0.7890625
12,0.78515625
13,0.734375
14,0.8359375
15,0.7734375
16,0.76953125
17,0.73828125
18,0.7734375
19,0.84765625
20,0.890625
21,0.80859375
22,0.85546875
23,0.8046875
24,0.84375
25,0.859375
26,0.90234375
27,0.85546875
28,0.87890625
29,0.83203125
30,0.87109375
31,0.875
32,0.90625
33,0.875
34,0.9140625
35,0.8671875
36,0.890625
37,0.875
38,0.80078125
39,0.9375
